distributor,innovation,kanata,perry,richardson,tomax
AMERICAN DISPLAY PRODUCTS,2125.0,,,,
AMERICAN MARKETING PROMOTIONS,115.0,,,,
AMERICAN SEWING & EMBROIDERY,,,,0.0,
AMERICAN SOLUTIONS FOR BUSINESS,,,633.0,,0.0
AMERICAN SPECIALTY ADVERTISING,0.0,,,,
AMERICAN SPORTSWEAR & EMB,,,,2462.49,
AMERIGRAFIX,540.0,,,,
AMERISOURCE COMPANIES,0.0,,,,
AMOS CUSTOM EMBROIDERY,,,,0.0,
"AMSTOCK, L.P.",0.0,,,,
AND SEW ON,,,,2440.76,
ANGELINI & ASSOCIATES LLC,,,12.0,,
ANGELO AWARDS,0.0,,,,
ANJ CONCEPTS INC,,,2274.0,,
ANN B MACALUSO,,,1670.0,,
ANN R WERME GROUP,,,1316.0,,
ANN WERME GROUP,,,,152.27,
ANN WERME MARKETING GROUP,1740.0,,,,
ANN WERME STATIONERS,,,,,5291.0
ANNE & OLIVER MARKETING INC.,,,,,0.0
ANNETTE & ASSOCIATES,0.0,,,,
ANOTHER BASKETCASE,186.0,,,,
ANYTHING GOES,0.0,,,,
ANYTHING PROMOTIONAL,361.0,,,,
APOLLO IMPRINTS,162.0,,,,
APPAREL ART,0.0,,,,
APPLAUSE PROMOTIONAL PRODUCTS,356.0,,,292.32,0.0
"APPLAUSE SPECIALTY ITEMS, INC",0.0,,,,
APPLE SPECIALTY ADVERTISING,2729.0,,,,
"APPLETREE PROMOTIONS, INC.",477.0,,,,
APROPOS PROMO,0.0,,,,
ARAM INC,,,6960.0,,
ARC PROMOTIONAL DESIGN     **,512.0,,,,
ARCADIA PRINTING OF TULSA,0.0,,,,
ARD APPAREL & PROMOTIONS,555.0,,,,
ARKLATEX PRINT& PROMO/PROFORMA,0.0,,,,
ARMADILLO ADVERTISING,0.0,,,,
ARMBRUSTER ENTERPRISES INC,,,0.0,,
ARSPEC INC.,0.0,,,,
ARTCRAFT PROMOTIONAL CONCEPTS,,,,,0.0
ARTIST TOUCH DESIGN FIRM,0.0,,,,
ARTISTIC APPAREL,389.0,,,,
ARTISTIC TEXTILE GRAPHICS,,,,0.0,
ASAP DESIGNS INC,,,0.0,,
ASH - ALLMOND,3159.0,,,,
ASH ALLMOND ASSOCIATES INC,,,,14590.09,
ASH-ALLMOND ASSOCIATES INC,,,319.0,,
"ASH-ALLMOND ASSOCIATES, INC.",0.0,,,,
ASPEN IMAGING,229.0,,,,
ASSIST MODE,262.0,,,,
ASSOCIATE ADVERTISING      TX,544.0,,,,
ASTRO APPAREL & UNIFORMS,0.0,,,,
AUS-TEX PRINTING & MAILING,867.0,,,,
AUSTIN AD GROUP,262.0,,10329.0,,
AUSTIN AD GROUP INC,,,,0.0,
AUSTIN AWARDS AND PROMOTIONS,0.0,,,,
AUSTIN DIGITAL PRINTING,0.0,,,,
AUSTIN PREMIUMS,,,,1922.01,
AUSTIN SCREEN PRINTING,180.0,,,,
AUSTIN SCREEN PRINTING LP,,,471.0,,
AUSTINTATIOUS ADVERTISING,519.0,,,,
AV GRAPHICS,503.0,,,,
AVID MARKETING,0.0,,,,
AWARD SPECIALIST,0.0,,,,
AWARD SPECIALTIES,0.0,,,,
AWARDS & ENGRAVING,279.0,,,,
AWARDS & ENGRAVING ADVT SPEC.,,,,,246.8
AWARDS & MORE,849.0,,,,
"AWARDS 4 WINNERS, INC",0.0,,,,
AWARDS BY GULF COAST TROPHIES,0.0,,,,
AWARDS BY WILSON.COM,0.0,,,,
AWARDS ETC,0.0,,,,
"AWARDS OF DISTINCTION, INC.",188.0,,,,
AWEARNESS DESIGN,,,,0.0,
AXIOM ADVERTISING,,,,4437.05,
AZTEC CUSTOM SCREENPRINTING,186.0,,,,
AZTEC PROMO GROUP/TEE TIME USA,,,,,0.0
Activate! Promotions & Mktg (P),,17689.84,,,
Ad Image Creative Promotions,,,,0.0,
Advanced Graphix,,1219.0,,,
Adventures In Advertising (P),,13065.74,,,
American Solutions for Business (P),,0.0,,,
Ann Werme Marketing Group (P),,3697.92,,,
Antonia Dei Rossi Corporate Ware,,,,614.13,
B & B ADVERTISING,0.0,,,,
"B M P PARTNERS, INC.",,,,,7945.96
B TO B PRINTING & PROMOTIONAL,488.0,,,,
B.JAXX EMBROIDERY AND GRAPHICS,0.0,,,,
B2B IMPRINTS,542.0,,,,
B2B SPECIALTIES INC,,,0.0,,
BACKSTAGE GRAPHICS,615.0,,,,
BADGEMAN PROMOTIONAL PRODUCTS,4637.0,,,,
BAILEY PROMOTION AND MARKETING,315.0,,,,
BALBOA COMPANY,0.0,,,,
BALLISTIC BRANDING,0.0,,,,
BAMBOA ORIGINAL SPORTSWEAR,,,2078.0,,
BAMBOA SPORTSWEAR,,,,8594.15,
BAMBOA SPORTSWERE,,,,,0.0
BANKERS PRODUCTS & PRINTING,338.0,,,,
BANKSON GROUP LTD,,,411.0,,
BAR-MEL NC,,,,3465.07,
BARBARA LAGATTA PROMOTIONAL,527.0,,,,
BARKLEY HOUSE,,,,,5861.32
BARKLEY HOUSE II,,,4128.0,,
BAT CITY AWARDS & APPAREL,0.0,,,,
BAT CITY AWARDS INC.,,,,,0.0
BAUGHPARK PROMOTIONS,0.0,,,,
BAUMANN PROMOS,1544.0,,,,
BB PRINTING,,,,,1318.0
BD & A,,,,,8174.64
BEAED,393.0,,,,
BEAED CORP.,514.0,,,,
BEAED CORP. OF BEAUMONT INC,250.0,,,,
BEAED CORPORATION,,,,0.0,
BEAED LP,,,0.0,,
BEALS CUNNINGHAM STRATEGIC SERVICES INC,,,0.0,,
BEAR'S WEAR INC,,,0.0,,
"BEAR'S WEAR, INC",0.0,,,,
BEE-LINE PROMOTIONS,343.0,,,,
BEE-TREE PROMOTIONAL PRODUCTS,309.0,,,,
BEE-TREE PROMOTIONAL PRODUCTS INC,,,0.0,,
BEEHIVE SPECIALTY,538.0,,,,0.0
"BELLS ADVERTISING, INC.",,,,,0.0
BELLS INTERNATIONAL INC,,,,168.79,
BELLS PROMOTIONAL PRODUCTS,40676.0,,177.0,,
BEN SHENKER SPECIALTIES,0.0,,,,
BENCHMARK EVENTS & PROMOTIONS,1312.0,,,,
BENSUSSEN DEUTSCH & ASSOCIATES INC,,,4392.0,,
BEST LITTLE PROMO HOUSE IN TX,177.0,,,,
BEST PROMOTIONS,0.0,,,,
BEST SOURCE PROMOTIONS,0.0,,,,
"BF PRODUCTS & SERVICE, INC.",399.0,,,,
BGM COMPANY,0.0,,,,
BIG BEAR PROMOTIONALS,,,,0.0,
"BIG BEND ADVERTISING COM., LLC",399.0,,,,
BIG D PROMOTIONS LLC,256.0,,,,
BIG PICTURE PROMOS,0.0,,,,
BIG STAR BRANDING,1512.0,,,,
BIGGERFISH LLC,1460.0,,,,
BILL WARREN OFFICE PRODUCTS,0.0,,,,
BILLINGSLEY GROUP,0.0,,,,
BIO CARE SPECIALTIES,,,,1479.0,
BIO CARE SPECIALTIES INC,,,0.0,,
BJ'S SPECIAL TEES,771.0,,,,
BKCARRAGENCY.COM,,,1144.0,,
BLACK GRAPHICS,0.0,,,,
BLAHUTA ADVERTISING,383.0,,,8533.76,
"BLOOM EMBRO, INC.",0.0,,,,
BLUE JUNGLE MARKETING,0.0,,,0.0,
BLUE MOON SPORTSWEAR INC,,,,113.02,
"BLUE MOON SPORTSWEAR, INC.",313.0,,,,4613.3
BLUE MOOSE TEES,0.0,,,,
BLUE RIBBON PROM DBA/CALFEE,1243.0,,,,
BLUE RIBBON PROMOTIONS,,,14420.0,,
BLUE STAR GRAPHICS & DESIGN,,,,,0.0
BLUE STAR GRAPHICS & DESIGN LP,,,241878.0,,
BLUE STAR GRAPHICS & DESIGNS,3157.0,,,,
BLUEANT DESIGNS,0.0,,,,
BLUEBERRY INK,,,,,2764.0
BLUEVISION GRAPHICS,0.0,,,,
BMP PAPER & PRINTING INC,,,,3132.24,
BMP PARTNERS INC,,,22551.0,,
BMP Partners (P),,13061.85,,,
BN PROMOS,0.0,,,,
BOB LILLY PROFESSIONA (TX),1093.0,,,,
BOB LILLY PROFESSIONAL PROMO.,,,,,11946.8
BOB LILLY'S PROFESSIONAL MKT GROUP,,,5618.0,,
BOB LILLYS PROFESSIONAL PROMOTIONS,,,,0.0,
BOBITT ADVERTISING,0.0,,,,
BODY BILLBOARDS,0.0,,,,
BONEHEAD GRAPHICS,0.0,,,,
BORAL BRANDERS LLC,827.0,,3872.0,,
BOSQUE FORMS INC,,,102.0,,
BOSS & HUGHES,2242.0,,,,
BOUNDLESS NETWORK,81909.0,,,16440.67,
BOUNDLESS NETWORK INC,,,34263.0,,
"BOUNDLESS NETWORK, INC.",,,,,134502.34
BOUZOUNIS INC,,,18.0,,
BOXSERV,0.0,,,,
BOXSERV PARENT CORP,,,,797.52,
BRADY HULL & ASSOCIATES,0.0,,,,
BRAGG RESOURCES,853.0,,,,
BRAND BUILDERS COMPANY,604.0,,,1650.57,
BRAND INK,143.0,,,,
BRAND IQ,6047.0,,,,15166.3
BRAND IQ INC,,,1713.0,469.2,
BRAND IT BANDITS,0.0,,,,
BRAND IT PROM..,0.0,,,,
BRAND KEEPERS,0.0,,,,
BRAND MANAGEMENT PROFESSIONALS,5092.0,,,,
BRAND THE WORLD,0.0,,,,
BRANDED RESOURCES INC,,,215339.0,,
BRANDED T'S,0.0,,,,
"BRANDING BOX CREATIVE, LLC",0.0,,,,
BRANDING IRON PRODUCTIONS,0.0,,,6010.92,
BRANDING RESOURCES,2039.0,,,,
BRANDING WORKS LTD,231.0,,,6157.25,
BRANDING YOUR BIZ,0.0,,,,
BRANDING-RESOURCES.COM,,,,,112.4
BRANDIT LLC,,,3601.0,,
BRAVO ADVERTISING,203.0,,,,
BREAKTHRU PROMOTIONAL SOLUTION,212.0,,,,
BRIDGEFARMER'S INC,0.0,,,,
BRIGHT SIDE PRINT & PROMOTIONS,237.0,,,,
BRONS & COMAPANY,148.0,,,,
BROOKSIDE SPECIALTIES,0.0,,,,928.7
BROWN & BIGELOW DALLAS,191.0,,,,
BROWN & BIGELOW INC,,,740.0,,
BROWN & BIGELOW INC.,,,,,585.0
BROWN AND PARTNERS,5050.0,,,,
BROWN SPECIALTIES,0.0,,,,
BROWNSVILLE LITHO,0.0,,,,
BRYANT INNOVATIONS,0.0,,,,
BSN SPORTS,,,904.0,,
BT PRINTING &PROMOTIONAL ITEMS,0.0,,,,
"BTH SALES & MARKETING, INC",0.0,,,,
BUFFALO SPECIALTIES INC,,,376.0,2804.98,
BUFFALO SPECIALTIES INC.,5872.0,,,,
"BUFFALO SPECIALTIES, INC.",,,,,12405.6
BULL SHIRTS INC,,,,76.8,
BULLPEN MARKETING,327.0,,0.0,0.0,
BULLSEYE PROMOTIONS,,,0.0,247.06,
BULLSHIRTS,1450.0,,,,
"BURNS GRAPHICS, INC.",494.0,,,,
BURRELL PROMOTIONS,326.0,,,,
BUSINESS ACCENTS,0.0,,,,
BUSINESS ESSENTIALS,0.0,,,,
BUSINESS MEDICAL SYSTEMS INC.,,,,,801.8
"BUSINESS MEDICAL SYSTEMS, INC",0.0,,,,
BUSINESS PRINTING INC,0.0,,,,
"BUSINESS SPIRIT, INC.",690.0,,,,
Bells Promotional Products,,1139.25,,,
Bensussen Deutsch & Associates (P),,123.0,,,
Black Global,,1200.0,,,
Blue Star Graphics (P),,4073.5,,,
Bob Lilly Professional Promo- (P),,6953.93,,,
Boundless Network Inc  (P),,19518.32,,,
Brand IQ  (P),,1358.7,,,
C & B PRINTING,0.0,,,,
C & R PRINT SHOP,195.0,,,,
C F J MANUFACTURING,,,,,584.8
C&E SPECIALTIES,0.0,,,,
"C. H. HARDEN, JR. ENTERPRISES",1960.0,,,,
C.C. Creations,,4038.53,,,
C.R. Solutions,,1642.81,,,
C3 STUDIOS,0.0,,,,
CADENA SPECIALTY ADVERTISING,199.0,,,,
CALENDARIOS LANDIN,0.0,,,,
CALFEE SPECIALTIES,,,,7147.6,
"CALJOY CONCEPTS, INC.",1026.0,,,,
CALLAWAY DESIGN,,,,796.53,
CAMBRIDGE LTD,,,8870.0,,
CAMDON GRAPHICS,1053.0,,,,
CANYON PRODUCTS INCORPORATED,309.0,,,,
CAP INC,1118.0,,,,
"CAPRICE PRODUCTION, INC",730.0,,,,
CAPRICE PRODUCTIONS INC,,,,0.0,246.0
CARLA JO SCHAEFER,,,1062.0,,
CARROLL PRINTING & PROMOS,605.0,,,,
CASH ADVERTISING CO.,0.0,,,,
CATALYST MARKETING,0.0,,,,
CATALYST MARKETING INC,,,13654.0,,
CATHY FRAZIER,,,87.0,,
CAUSLEY PRODUCTIONS,,,,0.0,
CBI-ROBCO PROMOTIONAL,0.0,,,,
CC CREATIONS,184.0,,,,
CC CREATIONS LTD,,,6075.0,,
CDE INC,,,198.0,,
CDFX LLC,,,2340.0,,
CEJCO INC,,,214.0,,
CENTEX RECOGNITION,1646.0,,,,
CENTRAL BUSINESS MARKETING,259.0,,,,
CENTRAL INDUSTRIES LLC,,,,0.0,
CENTURY CUSTOMS,3862.0,,,,
CENTURY GRAPHICS & SIGN,,,,19211.34,
CENTURY GRAPHICS & SIGN INC.,,,,,142.5
CENTURY GRAPHICS 3 SIGH INC,,,4411.0,,
"CENTURY GRAPHICS AND SIGN, INC",1633.0,,,,
CEO PROMOTIONS,0.0,,,,
CFJ MANUFACTURING,10736.0,,,,
CFJ MANUFACTURING LP,,,10261.0,,
CG EVENTSOLUTIONS,0.0,,,,
CHAMPION PROMOTIONS & PRINTING,0.0,,,,627.0
CHANGO PROMOTIONAL PRODUCTS,0.0,,,,
CHAPPELL OFFICE PRODUCTS,359.0,,,,
CHARCO,230.0,,,,
CHASE MARKETING ASSOCIATES,,,,,0.0
"CHASE MARKETING ASSOCIATES,INC",2613.0,,,,
"CHEAPER T'S, INC",28.0,,,,
CHECKMATE EMBROIDERY LLC,,,,619.47,
CHEROKEE DATA SOLUTIONS,320.0,,,,
CHILLUS PROMO APPAREL,1076.0,,,,
CHOICE ENGRAVING,,,,,0.0
CHRISMAN & ASSOCIATES,,,4457.0,,
CHUCK FOWLER INC,,,1013.0,,
CIMARRON SPECIALTIES,0.0,,,,
CLA PRINTING PLUS,253.0,,,,
CLARK SIGNS INC,,,,0.0,
"CLASSIC FORMS AND PRODUCTS, IN",645.0,,,,
CLASSIC PROMOTIONS,,,,1116.93,
CLASSY PROMO,4350.0,,,,
CLAY SCHAEFER & ASSOCIATES,,,,4029.26,
CM EVENT SERVICES LLC,,,0.0,2912.5,
"COLLIER-HICKMAN, INC",212.0,,,,
COLOR MIX GRAPHICS & PRINTING,,,0.0,,
COLOR VISUAL CONCEPTS INC,0.0,,,,
COLUMBIA DESIGN,0.0,,,,
COMMERCIAL PRINT SOLUTIONS,1345.0,,,,
COMMUNIKAY GRAPHICS,,,,82.8,
COMPASS PROMOTIONAL PRODUCTS,0.0,,,,
COMPLETE LOGO SOURCE,0.0,,,,
COMTECH,408.0,,,,
CONSOLIDATED HOLDINGS LLP,,,0.0,,
CONTEMPORARY PRINTING SERVICES,0.0,,,,
CONTEXTUS GLOBAL,,,,,0.0
COOK ADVERTISING SPECIALTIES,397.0,,,,
COOL GLOW,259.0,,,,
COOL STUFF,675.0,,,,
COOL THREADS,348.0,,,,
COOPER STEPP & ASSOCIATES,383.0,,,,
COOPER STEPP & ASSOCIATES INC,,,0.0,,
COPY HQ,0.0,,,,
COPYCRAFT PLUS,0.0,,,,
CORE MEDIA,330.0,,,,
CORNERSTONE ADVG & DESIGN,194.0,,,,
"CORPORATE CREATIONS , LLC",0.0,,,,
CORPORATE EXPRESSIONS,,,,0.0,
CORPORATE GOLF & GIFT,,,,0.0,
CORPORATE GOLF AND GIFT,0.0,,,,
CORPORATE GOLF& GIFT,475.0,,,,
CORPORATE IDENTITY,0.0,,,,
CORPORATE IMAGES,,,,,0.0
CORPORATE IMAGES INC,,,0.0,,
CORPORATE INCENTIVES,,,,,2165.0
CORPORATE INCENTIVES INC,,,3825.0,,
"CORPORATE INCENTIVES, INC",2420.0,,,,
CORPORATE PROMOTIONS INC.,188.0,,,,
CORPORATE SPECIALTY PRODUCTS,0.0,,,,
CORPORATE WEAR USA,2504.0,,,,
COS-ROBCO PROMOTIONAL,1263.0,,,,
COTTON CARGO,927.0,,,,
COULDN'T LOOK BETTER LLC,,,6426.0,,
COULDN'T LOOK BETTER/CLB,2715.0,,,,
COULDNT LOOK BETTER LLC,,,,902.87,
COVEY'S PROMOTIONS INC.,0.0,,,,
COVEYS PROMOTIONS INC,,,,0.0,
COWGIRL SPECIALTIES & PROMOTIO,327.0,,,,
CRAFTERS SHOWPLACE,,,,5696.28,
CRAIG A BERSON INC,,,,111.92,
CRAMER COMPUTER SUPPLIES INC,,,0.0,,
CREATIVE AWARDS & TROPHIES,0.0,,,,
CREATIVE AWARDS & TROPHIES INC,,,,2419.59,
CREATIVE AWARDS SERVICE/AWARDS,0.0,,,,
CREATIVE BUSINESS SOLUTIONS,,,0.0,,
CREATIVE DESIGN MARKETING,220.0,,,,
CREATIVE EXPRESSIONS UNLIMITED,2141.0,,,,
CREATIVE GRAPHIC SOLUTIONS,1376.0,,,,
CREATIVE IDEAS,,,,4958.14,
CREATIVE IDEAS INC,,,,277.16,
CREATIVE IMAGE ADVERTISING,4156.0,,,,
CREATIVE IMPRESSIONS,,,,11449.87,
CREATIVE PARTNERS IN PROMOS,,,,,1908.0
CREATIVE SPECIALTIES,2119.0,,,,
CREATIVE STITCHES,232.0,,,,
CREATIVE STITCHES INC,,,5454.0,,
CREATIVEANDFAST BIZ,176.0,,,,
CREDIT UNION MARKETING,507.0,,,,
CROSSMARK,0.0,,,,
CROSSPINE ENTERPRISES INC,,,9.0,,
CROSSROAD PRINT AND MARKETING,0.0,,,,
CROSSTHREAD DESIGN & PROMOTION,405.0,,,,
CROWN TROPHY,192.0,,,,
CT PROMOTIONAL PRODUCTS,188.0,,,,
CTL MARKETING,0.0,,,,
CUNNINGHAM GRAPHICS INC.,435.0,,,,
CURVES FOR WOMEN II LC IN,0.0,,,,
CUSTOM BRANDING CREATIONS,,,,69.19,859.5
CUSTOM CONCEPTS INC,,,1920.0,,
"CUSTOM CONCEPTS, INC",0.0,,,,
CUSTOM CREATIONS,,,,193.63,
CUSTOM DATA PRODUCTS/ AXIOM,351.0,,,,
CUSTOM EMBROIDERY SERVICE INC,,,214.0,,
CUSTOM FITNESS APPAREL LLC,,,,0.0,
CUSTOM IMAGES & PROMOTIONS,1565.0,,,,
CUSTOM IMPRESSIONS,0.0,,,,
CUSTOM IMPRINT AMERICA,1137.0,,,,
CUSTOM SOLUTIONS,,,,0.0,
CUSTOM SPECIALTIES,,,,0.0,
CUSTOM T'S,0.0,,,,
CUTTING EDGE ADVERTISING,2526.0,,,,
CUTTING EDGE ADVERTISING LLC,,,,879.0,
Catalyst Marketing (P),,3306.97,,,
Century Graphics & Sign Inc,,4959.88,,,
Corporate Identity,,,,88.8,
Corporate Incentives,,3662.4,,,
Corporate Incentives Inc.,,,,18004.38,
Custom Concepts (P),,24536.0,,,
D & J ADVERTISING ASSOCIATES,0.0,,,,
D&L PLASTIC SCREENING,170.0,,,,
DALLAS PROMO,0.0,,,,
DANIEL DAY APPAREL LLC,,,,2758.12,
"DANWAL, INC.",0.0,,,,
DAOS BUSINESS SERVICES,967.0,,,0.0,
"DATA BUSINESS FORMS, INC.",1467.0,,,,
DAVID'S APPAREL,782.0,,,,
DAVIDS APPAREL,,,,1175.49,
DAVIS & STANTON,6775.0,,,,
DAVIS & STANTON INC,,,0.0,0.0,
DAVIS & STANTON INC.,,,,,439.0
DBS MARKETING AND PROMOTIONS LLC,,,,,352.0
DBS MARKETING PROMOTIONS LLC,0.0,,,,
DEBBIE BERGEN,282.0,,,,
DEBBIE BERGEN PROMOTIONAL PROD,,,,9042.6,
DEBBIE BERGEN PROMOTIONAL PRODUCTS,,,3333.0,,
DEBBIE DO EMBROIDERY,,,,232.71,
DECKER SPECIALTY ADVERTISING,666.0,,,,
DEI ROSSI EMBROIDERY,,,,,0.0
DEI ROSSI MARKETING,9221.0,,,,
DELANE'S AD SPECIALTIES,113.0,,,,
DELIKATE PRINTS,2480.0,,,,
DELTA PROMOTIONS TEAM,0.0,,,,
DENTON DEPOT,8507.0,,,,
DES FINANCIAL SERVICES,0.0,,,,
DESIGN CENTER SIGNS,303.0,,,,
DESIGN MANAGEMENT,,,0.0,,
DESIGN WAREHOUSE,337.0,,,,
DESIGNERS GRAPHICS,,,,218.04,
DESIGNS IN THREADS,7020.0,,,,
DESIGNS ON GARMENTS,,,,98.22,
DETAIL PRODUCTS,875.0,,,,
DETAIL PRODUCTS INC,,,2518.0,211.15,479.0
"DFM PRINT PAK, LLC",0.0,,,,
DFW PROMO,100.0,,,,
DH PROMOTIONAL PRODUCTS,335.0,,,,
DIAMOND B PROMOTIONS,,,12231.0,,
DIAMONDBACK PRINTING &PROMO,556.0,,,,
DIFFERENT DRUMMER PROMOTION,,,,,120.4
DIFFERENT DRUMMER PROMOTIONS,463.0,,,,
DIGI-COLOR,6171.0,,,,
"DIGITAL CORPORATE CO., INC.",354.0,,,,
DIGITOUCH MEDIA,585.0,,,,
DIMENSIONS SPECIALIST INC,1095.0,,,,
DINOSAUR PLASTICS,1078.0,,,,
