Company Name,State,JAN - DEC 2014,JAN - DEC 2013,DEC 2014,DEC 2013,JAN - DEC 2013,Email
GRAPHICS NETWORK,OK,$0,$0,$0,$0,$0,rsahli@graphics-network.com
GREAT PLAINS GRAPHICS OF SHAWN,OK,$193,$0,$193,$0,$0,sales@greatplainsgraphics.com
HENDRYX PRINTING BROKERAGE LLC,OK,$424,$0,$0,$0,$0,sales@hendryxprinting.com
HERITAGE PRESS,OK,"$3,589",$652,$0,$0,$652,mworley@heritageintegrated.com
HI CORP,OK,"$33,172","$2,801","$5,264","$1,519","$2,801",lisa@hicorpinc.com
HOLDER AND SMITH INC,OK,$0,$0,$0,$0,$0,
HOLLEY ADVERTISING SPECIALTIES,OK,$299,$0,$0,$0,$0,sandy@holleyards.com
HOMER MILLER CO.,OK,$0,$0,$0,$0,$0,MILLERDEBBI@HOTMAIL.COM
HOOPER PRINTING & AD SPECILTIE,OK,$0,$0,$0,$0,$0,RANDY@HOOPERCOMPANIES.COM
I WANT PROMOS. COM,OK,$0,$0,$0,$0,$0,WEEZY@IWANTPROMOS.COM
IMAGENATION,OK,"$4,986","$5,704",$166,$0,"$5,704",finance@myipgi.com
"INITIALLY YOURS, INC.",OK,"$1,674",$0,$0,$0,$0,orders@initiallyyours.com
INTEGRITY PROMOTIONAL SOLUTION,OK,$701,"$1,139",$0,$0,"$1,139",erica@integritypromo.net
KELLEY ADVERTISING,OK,"$1,000",$0,$0,$0,$0,
LEGACY SPORTS ACADEMY INC/,OK,$80,$104,$0,$0,$104,4bergys@sbcglobal.net
MARY LYNCH ADVERTISING,OK,$0,$185,$0,$0,$185,mary@marylynchadvertising.com
"McDOWELL INCENTIVES, INC.",OK,$54,$32,$0,$0,$32,Gm@mcdowell-incentives.com
METAL FAB TROPHY & SCREEN PRIN,OK,$376,$0,$0,$0,$0,marti@metalfabtrophy.com
MINDS EYE,OK,$321,$0,$0,$0,$0,msexton@mindseyeads.com
MINUTEMAN PRESS -OKLAHOMA CITY,OK,$593,$0,$320,$0,$0,STAFF@MMPOKC.COM
MOISANT & CO.   MCI,OK,$134,"$1,565",$0,$0,"$1,565",CHRISTI@MOISANT.COM
MTM RECOGNITION CORPORATION,OK,$923,$0,$55,$0,$0,mgabel@mtmrecognition.com
MUDD PRINT PROMO,OK,$0,"$2,347",$0,$0,"$2,347",VINCE@MUDDPRINTANDPROMO.COM
OKLAHOMA BUSINESS FORMS INC,OK,"$2,410",$324,$0,$0,$324,kclark@oklahomabusinessforms.com
OSIYO COMMUNICATIONS,OK,$178,"$1,278",$0,$252,"$1,278",info@osiyocomm.com
PC PROMOTIONS,OK,"$2,792",$0,$168,$0,$0,kphillips@PC-PROMOTIONS.COM
"P-F UNLIMITED, INC.",OK,"$1,221",$556,$202,$0,$556,tom@pfunlimited.com
PINPOINT MONOGRAMS,OK,$663,$630,$0,$0,$630,paula@pinpointus.com;orders@pinpointus.com
PRAIRIE PRODUCTION COMPANY,OK,$252,"$1,518",$0,$0,"$1,518",CARTER@PPRODCO.COM
PREMIER ADVERTISING LLC,OK,$759,$0,$0,$0,$0,info@premieradv.com; reeseent@charter.net
PREMIERE PRESS AND GRAPHICS,OK,$566,$0,$0,$0,$0,mkerby@premierepress.com
PRICE PROMOTIONAL PRODUCTS LLC,OK,$216,$0,$0,$0,$0,CALLDAVE@BELLSOUTH.NET
PRINT IMAGING GROUP,OK,$0,$0,$0,$0,$0,ACCOUNTING@PRINTIMAGING.NET
"PROAD, INC",OK,"$2,738",$400,$0,$0,$400,phenley@proadinc.com
PROFESSIONAL PROMOTIONS/MEEKS,OK,$894,$0,$0,$0,$0,JANINE@MEEKS-GROUP.COM
PROFORMA FAITH MKTG SOLUTIONS,OK,"$1,195","$1,336",$0,$0,"$1,336",ROB.MORRIS@PROFORMA.COM
PROMOS ADVERTISING PRODUCTS,OK,$798,$86,$0,$0,$86,PROMOSACCOUNTING@SBCGLOBAL.NET;promoshelp@sbcglobal.net
PROMOTE 2 WIN ADVERTISING,OK,$550,$0,$0,$0,$0,jeff.zorn@ymail.com
PROMOTIONAL RESOURCE GROUP,OK,$704,"$1,084",$0,$0,"$1,084",tranger@getmorebusiness.com
PROMOTIONS ETC.,OK,$0,$0,$0,$0,$0,okpromotionsetc@aol.com
"PRONTO! PROMOTIONS, INC.",OK,$0,$357,$0,$0,$357,prontopromotions@cox.net
PROSERV BUSINESS PRODUCTS,OK,$366,$0,$0,$0,$0,susan.mason@proservbp.com
"PROSERV BUSINESS PRODUCTS, LLC",OK,$0,$856,$0,$472,$856,neil.trowbridge@proservebp.com; susan.mason@proservbp.com
QUALITY PROMOTIONS,OK,$0,$0,$0,$0,$0,deidre@shopop.com
QUANTUM FORMS,OK,$590,$991,$0,$0,$991,ABLACK@QUANTUMCO.COM
RED RIVER PROMOTIONS,OK,$0,$0,$0,$0,$0,EVAN@REDRIVERPROMOTIONS.COM
ROAR CREATIVE,OK,$756,$0,$0,$0,$0,DAVID@LETSROAR.COM
ROBYN PROMOTIONS AND PRINTING,OK,"$4,864","$6,457",$0,$418,"$6,457",amassey@robynpromo.com
RSI,OK,$961,"$2,810",$0,$0,"$2,810",MPADEN@RSIAUDIO.COM
S&W PROMOTIONS INC,OK,$0,"$1,294",$0,$0,"$1,294",SWPPROMOTIONS@COX.NET
SAFETYCO LLC DBA RATCLIFF INK,OK,$749,$0,$0,$0,$0,travis@ratcliffink.com
SMARTER MEDIA,OK,$711,$0,$0,$0,$0,dseyller@smartermediaok.com
"SMITH DRYDEN, LLC",OK,"$5,932",$426,"$1,182",$0,$426,CS@SMITHDRYDEN.COM
SPC OFFICE PRODUCTS,OK,$701,$0,$0,$0,$0,woodwardprint@spcop.com
"SPEEDY'S T'S & MOR, LLC",OK,$0,$0,$0,$0,$0,chere@speedysts.com
STIKL & ASSOCIATES,OK,$188,$193,$188,$0,$193,chuck@stiklcorp.com
STILLWATER SCREEN & EMBROIDERY,OK,$0,$0,$0,$0,$0,LYNN@STILLWATERSCREENPRINTING.COM
SUMMIT MARKETING/BARKLEY HOUSE,OK,"$1,247",$0,$0,$0,$0,bclark@barkleyhouse.net
SUNSHINE SPECIALTIES,OK,$0,$203,$0,$203,$203,cindy@sunshinespecialtiesadv.com
SYNCO,OK,$178,$0,$0,$0,$0,jrcunningham20@sbcglobal.net;champrings@sbcglobal.net
TACK DESIGNS,OK,$0,$0,$0,$0,$0,hunter@tackdesigns.com
TACK DESIGNS LLC,OK,$0,$982,$0,$0,$982,HUNTER@TACKDESIGNS.COM
TAYLORMADE GRAPHIX LLC,OK,$305,$0,$0,$0,$0,INFO@TAYLORMADEGRAPHIX.COM
TEXOMA PRINT SERVICE,OK,$916,"$5,097",$0,$899,"$5,097",SUE@TEXPRINTONE.COM
TGI ENTERPRISES INC,OK,"$2,462",$0,$0,$0,$0,ACCOUNTING@TGIPROMO.COM
THE CORSER GROUP INC.,OK,$0,$368,$0,$0,$368,corsergroup@cs.com
THE DOCUMENT CENTRE,OK,$412,$581,$0,$0,$581,charley@copydude.com
THE IMAGE GROUP,OK,$0,$0,$0,$0,$0,
THE PRINTERSOF OKLAHOMA LLC,OK,$0,$502,$0,$0,$502,WAYNE@THEPRINTERSOFOKLAHOMA.COM
THE SPECIALTY HOUSE,OK,$0,$0,$0,$0,$0,dlb@thespecialtyhouse.net
TOWNSEND MKTG INC.,OK,$917,$321,$0,$0,$321,kent@townsendmarketing.com
TROPHY AND PLAQUE PLUS,OK,$0,$0,$0,$0,$0,accounting@tappllc.com
TS&H SHIRT COMPANY INC,OK,$0,"$1,449",$0,$0,"$1,449",TSHSALES@SBCGLOBAL.NET
UNIPRO BUSINESS RESOURCES,OK,$95,$0,$0,$0,$0,unipro@unipro1.com
UNIQUEXTRAS,OK,$0,$0,$0,$0,$0,uniquextras@cox.net
WALKER COMPANIES,OK,$743,$240,$406,$0,$240,desiree@walkercompanies.com
WITTY IDEAS,OK,$429,$0,$0,$0,$0,WITTYIDEAS@SBCGLOBAL.NET
OK,TOTAL:,"$112,473","$69,187","$8,754","$4,556","$69,187",
State:,TX,,,,,,
2.3 GRAPHICS,TX,"$2,933",$0,$0,$0,$0,bethany@2-3graphics.com
2LC GRAPHICS,TX,$0,$225,$0,$0,$225,GRAPHICS2LC@SBCGLOBAL.NET
2M BUSINESS PRODUCTS,TX,$-421,$356,$0,$356,$356,mohammed@2mbp.com
360 PRESS SOLUTIONS,TX,$0,$0,$0,$0,$0,micaho@360presssolutions.com
413 STRENGTHGEAR,TX,"$2,192",$474,$0,$0,$474,jodi@413sga.com
A & K PRODUCT SPECIALTIES,TX,$462,$176,$0,$0,$176,KRIS@AKPRODUCTS.COM
A & N AWARDS AND PROMO,TX,$0,$314,$0,$0,$314,AN.AWARDS@VERIZON.NET
A GREAT IDEA,TX,"$4,045",$0,$0,$0,$0,PAT@AGREATIDEA.BIZ
A TURTLE LOVES ME,TX,$271,$744,$271,$0,$744,MICHELLE@ATURTLELOVESME.COM
"A.J. BART, INC.",TX,"$9,660","$15,460",$0,"$7,635","$15,460",betsyh@ajbart.com
AA XPRESS UNLIMITED,TX,$366,$0,$0,$0,$0,LISAVADAMS@AOL.COM
AAA TROPHY AND ENGRAVING,TX,$164,$549,$0,$0,$549,HEJBEV@SWBELL.NET
ABF PRINTING SERVICES,TX,$0,$351,$0,$0,$351,joey@abfprint.com
ABSOLUTE - ALL SPORTS,TX,$404,$78,$0,$0,$78,laura@asc-ast.com
ABSOLUTE COLOR,TX,$176,$0,$176,$0,$0,christy@absolutecolor.net
ABSOLUTE UNIFORM CO INC,TX,$0,$192,$0,$0,$192,middletonl@hotmail.com
AC PRINTING,TX,$168,$170,$0,$0,$170,John@acprinting.com
ACADEMY ADVG SPECS & AWARDS,TX,"$2,534","$2,316",$0,$0,"$2,316",myesha@academyadvawards.com
ACCENT ENTERPRISES,TX,$646,$0,$0,$0,$0,sandyredd11@hotmail.com
ACCOLADES AWARDS & ENGRAVING,TX,$0,$0,$0,$0,$0,SALES@ACCOLADES4U.COM
ACCUSOURCE SOLUTIONS,TX,$0,$423,$0,$0,$423,accounting@accusourcesolutions.net
ACF AWARDS & AD SPECIALTIES,TX,$329,$0,$0,$0,$0,darlenemanderson@yahoo.com
ACTION TROPHIES & AWARDS,TX,$0,$542,$0,$0,$542,bj@atawards.com; bob@atawards.com
ACUGRAPHICS EMBROIDERY & MORE,TX,$0,$0,$0,$0,$0,RANDY@ACUGRAPHICS.COM
AD CLARITY,TX,$731,$0,$0,$0,$0,may@ad-clarity.com
AD F/X,TX,$0,"$1,723",$0,$0,"$1,723",adfxpromos@yahoo.com
AD IMAGE,TX,$844,$-169,$0,$0,$-169,vlees@adimageonline.com
AD PRO        TX,TX,$0,$0,$0,$0,$0,adpro1@sbcglobal.net
AD PRO SPECIALTIES     S.A.TX,TX,$172,$200,$0,$200,$200,ADPROSPECIALTIES@SBCGLOBAL.NET
AD RADIANCE,TX,$0,$930,$0,$0,$930,JENNIFER@ADRADIANCE.COM
ADAIR PRINTING & PROMOTIONS,TX,$0,$211,$0,$0,$211,loren@adairservices.com
AD-CENTIVES,TX,"$1,965","$1,297",$472,$0,"$1,297",ad-centives@comcast.net
"ADCO ADVERTISING, INC.",TX,$309,$0,$0,$0,$0,ADCOAUSTIN@GMAIL.COM
ADDISON PROMOTIONS,TX,$0,$0,$0,$0,$0,SWT91TUL47@AOL.COM
AD-EASE SPECIALTY ADVERTISING,TX,"$1,195",$565,$0,$565,$565,adease@gvec.net
ADERO PROMOTIONS INC,TX,$0,$0,$0,$0,$0,sales@aderopromotions.com
AD-IMAGE CREATIVE PROMOTIONS,TX,$0,"$1,532",$0,$0,"$1,532",adimagedallas@aol.com
ADMARK,TX,$0,$364,$0,$0,$364,KRISTEEN@SUDDENLINKMAIL.COM
ADOBE SIGNS & T-SHIRTS,TX,$142,$321,$0,$0,$321,adobepj2@yahoo.com
AD-ON PROMO,TX,$150,$309,$0,$0,$309,sarah@ad-onproducts.com
ADP-LLC,TX,$374,$0,$0,$0,$0,rbrown@adp-llc.com
ADPOWER,TX,"$1,106","$2,328",$0,$487,"$2,328",ACCOUNTING@ADPOWERINC.COM
ADRIANS PROMOTIONS,TX,$0,$229,$0,$0,$229,hugoadrian68@yahoo.com
ADS AND IMAGES,TX,$0,$194,$0,$0,$194,
ADSMITH PROMOTIONS,TX,$0,"$1,102",$0,$0,"$1,102",DONNABOYTER@GMAIL.COM
"ADVANCED GRAPHIC PRODUCTS, INC",TX,$147,$0,$147,$0,$0,ap@advanced-online.com
ADVANCED GRAPHIX,TX,"$1,322","$2,069",$0,$0,"$2,069",mandi@advancedgraphix.net;stevem@advancedgraphix.net
ADVANCED MONOGRAMMING,TX,$0,$0,$0,$0,$0,JVNFW@AOL.COM
ADVANCED PROMOTION,TX,$0,$218,$0,$0,$218,ERICA.SMITH@CHARTER.NET
ADVANTAGE SALES PROMOTION CO.,TX,$407,$0,$0,$0,$0,marc@asp33.com
ADVANTAGE SPECIALTIES,TX,$0,$0,$0,$0,$0,bill@advantagespecialties.com
ADVENTURES             TX,TX,"$1,434",$0,$0,$0,$0,LENNY.ADVENTURES@GMAIL.COM
ADVERTISING CONCEPTS  TX,TX,$0,"$2,648",$0,"$1,178","$2,648",adcon@satx.rr.com
ADVERTISING SPECIALTIES,TX,$0,"$2,419",$0,$0,"$2,419",
ADVICE PROMOTIONS,TX,$669,$480,$0,$0,$480,advicepromotions@austin.rr.com
AD-WEAR & SPECIALTY OF TEXAS,TX,"$2,601","$3,385",$135,$561,"$3,385",beatrice@adweartex.com
ADWHITE PROMOTIONS,TX,$203,$0,$0,$0,$0,twhite@adwhite.com
AJL ADVERTISING SPECIALTIES,TX,$719,$712,$0,$0,$712,TINA@AJLADVERTISING.COM
AKTIS ENTERPRISE INC,TX,"$2,627",$543,$0,$0,$543,sanjiv@arriainc.com
ALADDIN SPECIALTY,TX,$175,$0,$0,$0,$0,flitt@sbcglobal.net
ALAMO CUSTOM ADVERTISING,TX,$0,$290,$0,$0,$290,
ALEJO USA,TX,$0,$511,$0,$0,$511,alejousa@alejousa.com
ALEXANDER RESOURCE GROUP,TX,$396,$0,$0,$0,$0,alexanderresourcegroup@gmail.com
ALL GOODS LLC,TX,$408,$0,$408,$0,$0,Hchatwell@allgoodsllc.com
ALL IN ONE PRINTING,TX,$0,$0,$0,$0,$0,russellallinoneprinting@gmail.com
ALL PRINTING,TX,$0,$0,$0,$0,$0,jose@all-printing.com
ALL STAR CAPS,TX,$474,$893,$0,$0,$893,karent@allstarcaps.com
ALLEGRA PRINT & IMAGING,TX,$135,$0,$135,$0,$0,allegra@allegrasanantonio.com
ALLEGRA PRINT & IMAGING,TX,"$2,332",$0,$0,$0,$0,KIMBERLY@ALLEGRATX.COM
ALLEGRA PRINT & IMAGING,TX,"$1,616",$914,$0,$0,$914,DONNA@ALLEGRAHOUSTON.COM
ALLEGRA PRINT & IMAGINMG,TX,$876,$0,$0,$0,$0,allegrahgn@att.net
ALLIED ADVERTISING,TX,$0,"$3,075",$0,$0,"$3,075",JENNIFER@ALLIEDAD.COM
ALLISON'S,TX,$0,$196,$0,$0,$196,sp@aol.com
ALLMARK IMPRESSIONS,TX,$240,$0,$0,$0,$0,allmark7@aol.com
ALPHAGRAPHICS,TX,$0,$539,$0,$0,$539,gina.vitale@alphagraphics.com
ALPHAGRAPHICS # 152,TX,$0,$0,$0,$0,$0,jcavazos@alphagraphics.com
ALPHAGRAPHICS #391,TX,$434,$0,$0,$0,$0,gwenmcalister@alphagraphics.com
ALPHAGRAPHICS BRYAN/COLLEGE,TX,$152,$0,$0,$0,$0,info@alphagraphics.com
ALREADY GEAR,TX,$208,$647,$0,$0,$647,TERESA@ALREADYGEAR.COM
AMAZING AWARDS INC.,TX,$0,$539,$0,$0,$539,INFO@AZAWARDS.COM
AMERICAN DISPLAY PRODUCTS,TX,"$2,125",$0,$0,$0,$0,SSULLIVA@NCH.COM
AMERICAN MARKETING PROMOTIONS,TX,$115,$0,$115,$0,$0,muriello@sbcglobal.com
AMERIGRAFIX,TX,$540,$0,$0,$0,$0,sales@amerigrafix.net
AMERISOURCE COMPANIES,TX,$0,$0,$0,$0,$0,
"AMSTOCK, L.P.",TX,$0,$0,$0,$0,$0,LARRY@AMSTOCK.NET
ANN WERME MARKETING GROUP,TX,"$1,740",$814,$848,$0,$814,rusty@annwermegroup.com
ANNA BREED DBA IMPRINTED PRODU,TX,"$1,298",$0,$0,$0,$0,ANNA@IMPRINTED-PRODUCTS.COM
ANNETTE & ASSOCIATES,TX,$0,$153,$0,$0,$153,mimiannettesilver@gmail.com
ANOTHER BASKETCASE,TX,$186,$0,$0,$0,$0,alichia@anotherbasketcase.us
ANYTHING PROMOTIONAL,TX,$361,$0,$0,$0,$0,JENNIFER@ANYTHINGPP.COM
APOLLO IMPRINTS,TX,$162,$0,$0,$0,$0,ben@apolloimprints.com
APPAREL ART,TX,$0,$0,$0,$0,$0,APPARELARTRETAIL@AOL.COM
APPLAUSE PROMOTIONAL PRODUCTS,TX,$356,$0,$0,$0,$0,rick@applausepromo.com
"APPLAUSE SPECIALTY ITEMS, INC",TX,$0,$0,$0,$0,$0,applausetx@aol.com
APPLE SPECIALTY ADVERTISING,TX,"$2,729","$1,446",$0,$594,"$1,446",JANE@APPLESPECIALTY.COM;TERRI@APPLESPECIALTY.COM
"APPLETREE PROMOTIONS, INC.",TX,$477,$482,$0,$0,$482,jodi@appletreepromotions.com
APROPOS PROMO,TX,$0,$0,$0,$0,$0,susan@apropospromo.com
ARC PROMOTIONAL DESIGN     **,TX,$512,$452,$0,$0,$452,allan@arcpromo.com
ARD APPAREL & PROMOTIONS,TX,$555,$0,$0,$0,$0,sard@aaptexas.com
ARMADILLO ADVERTISING,TX,$0,$0,$0,$0,$0,cschaefer@armadilloadvertising.com
ARSPEC INC.,TX,$0,$691,$0,$0,$691,arspecinc@aol.com
ASH - ALLMOND,TX,"$3,159",$0,$0,$0,$0,candy@ashallmond.com
"ASH-ALLMOND ASSOCIATES, INC.",TX,$0,$0,$0,$0,$0,
ASPEN IMAGING,TX,$229,"$2,448",$0,$0,"$2,448",TLOPEZ@THINKSIGNATURE.COM
ASSIST MODE,TX,$262,$0,$0,$0,$0,lakesharaynor@gmail.com
ASSOCIATE ADVERTISING      TX,TX,$544,$0,$0,$0,$0,assocad1@aol.com
AUS-TEX PRINTING & MAILING,TX,$867,$0,$0,$0,$0,DEBORAHHERN@AUSTEX.COM
AUSTIN AD GROUP,TX,$262,"$3,363",$0,$0,"$3,363",tanya@AUSTINADGROUP.COM
AUSTIN AWARDS AND PROMOTIONS,TX,$0,$0,$0,$0,$0,rphinney@rocketmail.com
AUSTIN DIGITAL PRINTING,TX,$0,$935,$0,$0,$935,JENNY@AUSTINDIGITAL.BIZ
AUSTIN SCREEN PRINTING,TX,$180,$0,$0,$0,$0,kyle@asp-aei.com
AUSTINTATIOUS ADVERTISING,TX,$519,"$2,741",$0,$0,"$2,741",tatious@aol.com
AV GRAPHICS,TX,$503,$0,$0,$0,$0,angie@avgraphics.net
AWARD SPECIALIST,TX,$0,$0,$0,$0,$0,AWARDSPECIALIST@SBCGLOBAL.NET
AWARDS & ENGRAVING,TX,$279,$0,$0,$0,$0,myhelpdesk@awards-engraving.com
AWARDS & MORE,TX,$849,$214,$0,$0,$214,AWARDS@TXCYBER.COM
"AWARDS 4 WINNERS, INC",TX,$0,$0,$0,$0,$0,A4W-INCORPORATED@ATT.NET
AWARDS BY GULF COAST TROPHIES,TX,$0,"$1,560",$0,$0,"$1,560",SALES@GCTAWARDS.COM
"AWARDS OF DISTINCTION, INC.",TX,$188,$301,$0,$0,$301,marcia@awardsofdistinction.com
AXIOM ADVERTISING,TX,$351,$228,$0,$0,$228,kimk@cdpaxiom.com
AZTEC CUSTOM SCREENPRINTING,TX,$186,$622,$0,$0,$622,aaron.messick@aztecworld.com
B & B ADVERTISING,TX,$0,$691,$0,$402,$691,bbott21@verizon.net
B TO B PRINTING & PROMOTIONAL,TX,$488,$243,$0,$0,$243,EBattelle@aol.com
B2B IMPRINTS,TX,$542,$0,$0,$0,$0,MARK@B2BIMPRINTS.COM
BACKSTAGE GRAPHICS,TX,$615,$0,$0,$0,$0,josh@backstagegraphics.com
BADGEMAN PROMOTIONAL PRODUCTS,TX,"$4,637","$3,756",$0,$186,"$3,756",BMPROMO@SWBWLL.NET
BALBOA COMPANY,TX,$0,$509,$0,$0,$509,balboa@balboacompany.com
BANKERS PRODUCTS & PRINTING,TX,$338,$347,$0,$0,$347,info@bankersproducts.net;accounting@bankersproducts.net
BARBARA LAGATTA PROMOTIONAL,TX,$527,$0,$318,$0,$0,barbara_lagatta@msn.com
BAT CITY AWARDS & APPAREL,TX,$0,$818,$0,$0,$818,eric@batcityawards.com
BAUMANN PROMOS,TX,"$1,544",$0,$330,$0,$0,gbaumann@baumannpromos.com
BEAED,TX,$393,$0,$0,$0,$0,whitney@beaedcc.com
BEAED CORP.,TX,$514,"$1,150",$0,$484,"$1,150",LIZ_A@BEAED.COM
BEAED CORP. OF BEAUMONT INC,TX,$250,$0,$0,$0,$0,VSTOVALL@BEAED.COM
BEEHIVE SPECIALTY,TX,$538,$0,$0,$0,$0,DONNA@SPECIALBEE.COM
BEE-LINE PROMOTIONS,TX,$343,$0,$0,$0,$0,bee_line_promo@yahoo.com
BEE-TREE PROMOTIONAL PRODUCTS,TX,$309,$0,$0,$0,$0,CUSTOMERSERVICE@BEE-TREE.COM
BELLS PROMOTIONAL PRODUCTS,TX,"$40,676","$8,258","$5,214",$0,"$8,258",nancy@imprintmall.com;tracy@bells.com
BENCHMARK EVENTS & PROMOTIONS,TX,"$1,312","$1,269",$0,$702,"$1,269",tmayfield@benchmarkep.com
BEST LITTLE PROMO HOUSE IN TX,TX,$177,"$3,091",$0,$0,"$3,091",sales@promotionalproducts.net
BEST PROMOTIONS,TX,$0,$0,$0,$0,$0,
BEST SOURCE PROMOTIONS,TX,$0,"$1,143",$0,$0,"$1,143",BESTSOURCEPROMO@YAHOO.COM
"BF PRODUCTS & SERVICE, INC.",TX,$399,$0,$0,$0,$0,FEARS7@AOL.COM
"BIG BEND ADVERTISING COM., LLC",TX,$399,$0,$0,$0,$0,sales@bigbendadv.com
BIG D PROMOTIONS LLC,TX,$256,$0,$0,$0,$0,sales@bigdpromos.com;mike@bigdpromos.com
BIG PICTURE PROMOS,TX,$0,$283,$0,$0,$283,DAWN.SOUTH@BIGPICTUREPROMOS.COM
BIG STAR BRANDING,TX,"$1,512",$0,$884,$0,$0,accounting@bigstarbranding.com
BIGGERFISH LLC,TX,"$1,460","$1,385",$0,$0,"$1,385",C2@BIGPROMOTIONS.NET; rich@bigpromotions.net
BILLINGSLEY GROUP,TX,$0,$0,$0,$0,$0,USER6503@AOL.COM
BJ'S SPECIAL TEES,TX,$771,$0,$0,$0,$0,bjsspecialtees@gmail.com
BLACK GRAPHICS,TX,$0,$419,$0,$0,$419,MICHAEL@BLACKGRAPHICSADV.COM
BLAHUTA ADVERTISING,TX,$383,$0,$0,$0,$0,mleopold@blahutaadvertising.com
"BLOOM EMBRO, INC.",TX,$0,$0,$0,$0,$0,mary@bloominc.com
BLUE JUNGLE MARKETING,TX,$0,$188,$0,$0,$188,jim@bluejunglemarketing.com
"BLUE MOON SPORTSWEAR, INC.",TX,$313,"$1,076",$0,$0,"$1,076",hollyb@bluemoonsportswear.com
