 Number , Customer Name , Clsd , Rep , PL , Group , Jan-Dec 2014 , Jan-Dec 2013 , Variance ,% Chng
 AA760MT , ASH ALLMOND ASSOCIATES INC ,, 117-Lori Eaton , 2 , Promotional ," $14,590.09 "," $3,405.60 "," $11,184.49 ",328.4%
 AD770HT , AWEARNESS DESIGN ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 BM752DT , BAR-MEL NC ,, 117-Lori Eaton , 1 , Promotional ," $3,465.07 ", $-   ," $3,465.07 ",100.0%
 BE775AT , BEAED CORPORATION ,, 117-Lori Eaton , 1 , Promotional , $-   , $259.28 , $(259.28),-100.0%
 BI787AT , BELLS INTERNATIONAL INC ,, 117-Lori Eaton , 1 , Promotional , $168.79 , $-   , $168.79 ,100.0%
 BC260CT , BIO CARE SPECIALTIES ,, 117-Lori Eaton , 3 , Promotional ," $1,479.00 ", $-   ," $1,479.00 ",100.0%
 BL779HT , BLAHUTA ADVERTISING ,, 117-Lori Eaton , 1 , Promotional ," $8,533.76 "," $5,360.69 "," $3,173.07 ",59.2%
 BP774ST , BLUE JUNGLE MARKETING ,, 117-Lori Eaton , 1 , Promotional , $-   , $6.75 , $(6.75),-100.0%
 BM770HT , BMP PAPER & PRINTING INC ,, 117-Lori Eaton , 3 , Corporate ," $3,132.24 "," $1,974.44 "," $1,157.80 ",58.6%
 BS787AT , BOXSERV PARENT CORP ,, 117-Lori Eaton , 1 , Promotional , $797.52 , $-   , $797.52 ,100.0%
 BI770HT , BRAND IQ INC ,, 117-Lori Eaton , 2 , Promotional , $469.20 ," $1,180.16 ", $(710.96),-60.2%
 BI773CT , BRANDING IRON PRODUCTIONS ,, 117-Lori Eaton , 1 , Promotional ," $6,010.92 ", $-   ," $6,010.92 ",100.0%
 BW782ST , BRANDING WORKS LTD ,, 117-Lori Eaton , 3 , Promotional ," $6,157.25 "," $3,509.32 "," $2,647.93 ",75.5%
 BS770HT , BUFFALO SPECIALTIES INC ,, 117-Lori Eaton , 3 , Promotional ," $2,804.98 "," $6,863.90 "," $(4,058.92)",-59.1%
 BU340HT , BULL SHIRTS INC ,, 117-Lori Eaton , 1 , Decorator , $76.80 , $112.50 , $(35.70),-31.7%
 BP770HT , BULLPEN MARKETING ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CA773CT , CALFEE SPECIALTIES ,, 117-Lori Eaton , 1 , Promotional ," $7,147.60 "," $1,138.65 "," $6,008.95 ",527.7%
 CP782ST , CAPRICE PRODUCTIONS INC ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CP773LT , CLASSIC PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional ," $1,116.93 ", $-   ," $1,116.93 ",100.0%
 CL782ST , CLAY SCHAEFER & ASSOCIATES ,, 117-Lori Eaton , 1 , Promotional ," $4,029.26 ", $993.75 ," $3,035.51 ",305.5%
 CE773KT , CM EVENT SERVICES LLC ,, 117-Lori Eaton , 1 , Promotional ," $2,912.50 ", $-   ," $2,912.50 ",100.0%
 CO775AT , COMMUNIKAY GRAPHICS ,, 117-Lori Eaton , 1 , Promotional , $82.80 , $-   , $82.80 ,100.0%
 MW774CT , CORPORATE EXPRESSIONS ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 CI770HT , Corporate Identity ,, 117-Lori Eaton , 1 , Promotional , $88.80 , $542.64 , $(453.84),-83.6%
 CI773WT , Corporate Incentives Inc. ,, 117-Lori Eaton , 3 , Promotional ," $18,004.38 "," $1,719.28 "," $16,285.10 ",947.2%
 CB752DT , CRAIG A BERSON INC ,, 117-Lori Eaton , 1 , Promotional , $111.92 , $-   , $111.92 ,100.0%
 CR786FT , CREATIVE AWARDS & TROPHIES INC ,, 117-Lori Eaton , 1 , Decorator ," $2,419.59 ", $536.19 ," $1,883.40 ",351.3%
 CR774ST , CREATIVE IDEAS ,, 117-Lori Eaton , 3 , Promotional ," $4,958.14 "," $8,901.05 "," $(3,942.91)",-44.3%
 UN770HT , CREATIVE IDEAS INC ,, 117-Lori Eaton , 1 , Promotional , $277.16 , $157.61 , $119.55 ,75.9%
 CI774ET , CREATIVE IMPRESSIONS ,, 117-Lori Eaton , 1 , Decorator ," $11,449.87 "," $2,787.23 "," $8,662.64 ",310.8%
 CB750PT , CUSTOM BRANDING CREATIONS ,, 117-Lori Eaton , 1 , Promotional , $69.19 , $-   , $69.19 ,100.0%
 CI767WT , CUSTOM CREATIONS ,, 117-Lori Eaton , 1 , Decorator , $193.63 , $618.29 , $(424.66),-68.7%
 CU770HT , CUSTOM SPECIALTIES ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 DD760ET , DANIEL DAY APPAREL LLC ,, 117-Lori Eaton , 1 , Decorator ," $2,758.12 ", $12.35 ," $2,745.77 ",22233.0%
 DB773WT , DAOS BUSINESS SERVICES ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 DE444LT , DeLane's Ad Specialties ,, 117-Lori Eaton , 2 , Promotional ," $1,404.06 "," $10,648.34 "," $(9,244.28)",-86.8%
 DE786ST , DESIGNS ON GARMENTS ,, 117-Lori Eaton , 1 , Decorator , $98.22 , $-   , $98.22 ,100.0%
 DP770HT , DETAIL PRODUCTS INC ,, 117-Lori Eaton , 1 , Promotional , $211.15 , $230.32 , $(19.17),-8.3%
 TE759AT , DO NOT USE - USE AT29OT TEJAS TOPPERS INC ,, 117-Lori Eaton , 3 , Decorator ," $1,780.13 ", $94.52 ," $1,685.61 ",1783.3%
 DO776OT , DOMINION FORMS INC ,, 117-Lori Eaton , 1 , Promotional ," $1,729.27 "," $1,516.38 ", $212.89 ,14.0%
 DR782ST , DRS GRAPHICS & PRINTING ,, 117-Lori Eaton , 1 , Decorator , $686.87 ," $1,003.14 ", $(316.27),-31.5%
 EA770HT , EAGLE EMBROIDERY ,, 117-Lori Eaton , 2 , Promotional , $414.79 , $-   , $414.79 ,100.0%
 EL770HT , ELITE PRINTING ,, 117-Lori Eaton , 1 , Promotional , $-   , $706.81 , $(706.81),-100.0%
 ES774ST , EMBROID ME SUGAR LAND ,, 117-Lori Eaton , 1 , Decorator , $-   , $488.06 , $(488.06),-100.0%
 EP770HT , EPIC PROMOTIONS INC ,, 117-Lori Eaton , 4 , Promotional ," $7,315.95 "," $4,417.15 "," $2,898.80 ",65.6%
 EB967LH , EVERY BRAND APPAREL INC ,, 117-Lori Eaton , 1 , Promotional ," $2,840.27 "," $1,323.40 "," $1,516.87 ",114.6%
 IT776PT , EXCEL SCREEN PRINTING ,, 117-Lori Eaton , 1 , Promotional , $622.56 ," $4,550.67 "," $(3,928.11)",-86.3%
 AP770HT , FLAGSHIP PROMOTIONAL SERVICES ,, 117-Lori Eaton , 2 , Promotional , $-   , $-   , $-   ,0.0%
 FE782ST , FOUR SEASONS EMBROIDERY INC ,, 117-Lori Eaton , 1 , Decorator , $-   , $-   , $-   ,0.0%
 GN767WT , GET NOTICED SOLUTIONS ,, 117-Lori Eaton , 1 , Promotional , $226.67 , $-   , $226.67 ,100.0%
 GM773CT , GLENN MOSS ADVERTISING ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 GR770HT , GRAPHICS UNLIMITED INC ,, 117-Lori Eaton , 2 , Promotional ," $1,582.05 ", $235.45 ," $1,346.60 ",571.9%
 GG761FT , GRAVES GROUP PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional ," $2,736.89 "," $1,125.46 "," $1,611.43 ",143.2%
 HA797MT , HANCOCK ADVERTISING GROUP ,, 117-Lori Eaton , 1 , Promotional , $134.22 , $-   , $134.22 ,100.0%
 HS782ST , HEAVEN SENT PROMOTIONS & APPAREL ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 HC780BT , HILL COUNTRY EMBROIDERY ,, 117-Lori Eaton , 1 , Decorator , $316.08 , $255.30 , $60.78 ,23.8%
 HA772HT , HOUSTON ADVANCE PACKAGING CO ,, 117-Lori Eaton , 1 , Promotional , $376.83 , $220.15 , $156.68 ,71.2%
 HE770HT , HOUSTON EMBROIDERY WORKS ,, 117-Lori Eaton , 1 , Decorator ," $1,292.25 ", $-   ," $1,292.25 ",100.0%
 IN750AT , IDEAS N MOTION ,, 117-Lori Eaton , 1 , Promotional ," $2,749.46 ", $-   ," $2,749.46 ",100.0%
 II762KT , IGNITE IMAGING ,, 117-Lori Eaton , 1 , Promotional , $-   , $535.78 , $(535.78),-100.0%
 II761FT , IMAGE IS EVERYTHING INC ,, 117-Lori Eaton , 1 , Decorator , $67.50 , $30.00 , $37.50 ,125.0%
 IP773KT , IMPRESSABLE PROMOTIONAL PRODUCTS ,, 117-Lori Eaton , 1 , Promotional , $19.75 , $-   , $19.75 ,100.0%
 MA750PT , Incentive Brands ,, 117-Lori Eaton , 1 , Promotional ," $1,292.01 ", $227.80 ," $1,064.21 ",467.2%
 JH770HT , J HARDING & CO ,, 117-Lori Eaton , 1 , Promotional , $269.33 , $-   , $269.33 ,100.0%
 JF794LT , JPS FUNDWEAR INC ,, 117-Lori Eaton , 1 , Promotional , $332.24 , $-   , $332.24 ,100.0%
 KO770HT , K & O INTERNATIONAL GROUP ,, 117-Lori Eaton , 1 , Promotional , $253.96 , $-   , $253.96 ,100.0%
 LE777BT , LEGEND MARKETING ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 LS782ST , LONE STAR SPECIAL TEES INC ,, 117-Lori Eaton , 1 , Decorator , $351.69 , $74.95 , $276.74 ,369.2%
 MI761NT , MARK IT PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional , $124.39 , $-   , $124.39 ,100.0%
 MC784CT , Marlin Custom Embroidery ,, 117-Lori Eaton , 1 , Decorator ," $4,363.24 ", $659.29 ," $3,703.95 ",561.8%
 MD767WT , MD SHELL MARKETING ,, 117-Lori Eaton , 1 , Promotional , $144.75 , $-   , $144.75 ,100.0%
 MH760AT , MERCH HAUS ,, 117-Lori Eaton , 1 , Corporate ," $1,093.14 ", $-   ," $1,093.14 ",100.0%
 ST770HT , MPRESSA PROMOTIONAL SOLUTIONS ,, 117-Lori Eaton , 1 , Promotional , $78.41 , $-   , $78.41 ,100.0%
 MV782ST , MVP PROMOTIONS INC ,, 117-Lori Eaton , 1 , Promotional , $-   , $57.72 , $(57.72),-100.0%
 MT765JT , MY TEE ENTERPRISES ,, 117-Lori Eaton , 1 , Decorator , $355.01 , $-   , $355.01 ,100.0%
 IN731OO , MYIPGI.COM ,, 117-Lori Eaton , 1 , Promotional , $268.61 , $-   , $268.61 ,100.0%
 NE782ST , NATIONAL EMBROIDERS LLC ,, 117-Lori Eaton , 1 , Decorator , $731.28 , $-   , $731.28 ,100.0%
 NA760AT , NATIONWIDE ADVERTISING SPECIALTY CO ,, 117-Lori Eaton , 1 , Promotional , $523.21 , $-   , $523.21 ,100.0%
 NE500HT , NETWORK-INTERSTATE CO ,, 117-Lori Eaton , 3 , Promotional ," $3,212.75 "," $1,765.05 "," $1,447.70 ",82.0%
 NC783AT , Neumanns Custom Leather & Embroidery ,, 117-Lori Eaton , 1 , Decorator , $280.41 ," $1,026.29 ", $(745.88),-72.7%
 ND773ST , NW DIGITAL WORKS LLC ,, 117-Lori Eaton , 1 , Promotional , $162.73 , $-   , $162.73 ,100.0%
 RP793WT , OUTERWEAR USA ,, 117-Lori Eaton , 1 , Specialty Retail , $-   , $124.97 , $(124.97),-100.0%
 PE760GT , PANDA EMBROIDERY ,, 117-Lori Eaton , 1 , Decorator , $80.75 , $-   , $80.75 ,100.0%
 PE781ST , PARAMOUNT EMBROIDERY ,, 117-Lori Eaton , 1 , Decorator , $149.11 , $-   , $149.11 ,100.0%
 BT968ST , PARAMOUNT PROMOTIONS INC ,, 117-Lori Eaton , 3 , Decorator ," $3,358.24 ", $877.30 ," $2,480.94 ",282.8%
 PC780BT , PATS CREATIVE STITCHES ,, 117-Lori Eaton , 1 , Decorator ," $3,462.41 ", $-   ," $3,462.41 ",100.0%
 PC770HT , PDS CORPORATE SALES ,, 117-Lori Eaton , 1 , Promotional , $-   , $542.64 , $(542.64),-100.0%
 PB770HT , PROFORMA BRAND PROFORMANCE ,, 117-Lori Eaton , 2 , Promotional ," $1,499.46 ", $603.17 , $896.29 ,148.6%
 PC760AT , PROFORMA COMPLETE PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional ," $4,413.11 ", $-   ," $4,413.11 ",100.0%
 PM774KT , PROFORMA MVP MARKETING ,, 117-Lori Eaton , 1 , Corporate ," $1,506.00 ", $-   ," $1,506.00 ",100.0%
 PT774BT , PROFORMA TACABU ,, 117-Lori Eaton , 1 , Promotional , $577.32 ," $1,020.00 ", $(442.68),-43.4%
 PS770HT , PROLINE SUPPLY COMPANY INC. ,, 117-Lori Eaton , 1 , Promotional , $15.07 , $749.39 , $(734.32),-98.0%
 PW773HT , PROMO WORLD LLC ,, 117-Lori Eaton , 1 , Promotional ," $5,604.87 "," $2,158.77 "," $3,446.10 ",159.6%
 PI778CT , PROMOTIONAL IMAGE ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 PW750RT , PROMOTIONS WITH A PURPOSE ,, 117-Lori Eaton , 1 , Promotional , $383.62 , $88.13 , $295.49 ,335.3%
 PM750PT , PROSPER MARKETING GROUP INC ,, 117-Lori Eaton , 1 , Promotional , $316.40 , $956.46 , $(640.06),-66.9%
 PP761FT , PUCKETT PRO INC ,, 117-Lori Eaton , 1 , Promotional , $-   , $385.11 , $(385.11),-100.0%
 QP770HT , QSP PROMOTIONAL ,, 117-Lori Eaton , 1 , Team , $215.40 , $76.09 , $139.31 ,183.1%
 QT767WT , QTI PROMOTIONS & APPAREL ,, 117-Lori Eaton , 1 , Promotional , $491.50 , $-   , $491.50 ,100.0%
 RR774ET , R & R PRINTING & GRAPHICS ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 RA870HT , RACSO LLC ,, 117-Lori Eaton , 1 , Promotional , $198.00 , $13.82 , $184.18 ,1332.7%
 RA773ST , RALPH WHITE MERCHANDISING INC ,, 117-Lori Eaton , 3 , Promotional ," $45,483.84 "," $16,696.02 "," $28,787.82 ",172.4%
 RO787AT , RICK OLSON ADVERTISING ,, 117-Lori Eaton , 1 , Promotional ," $3,261.45 ", $-   ," $3,261.45 ",100.0%
 RS761HT , ROCK AND SOUL LLC ,, 117-Lori Eaton , 1 , Promotional ," $3,513.91 "," $2,090.42 "," $1,423.49 ",68.1%
 SP789ST , SCHULENBURG PRINTING ,, 117-Lori Eaton , 1 , Promotional ," $2,522.50 "," $2,223.55 ", $298.95 ,13.4%
 SP789FT , SIGNATURE PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional , $450.10 , $-   , $450.10 ,100.0%
 SE788DT , SKYLINE EMBROIDERY ,, 117-Lori Eaton , 1 , Decorator , $936.87 ," $1,069.52 ", $(132.65),-12.4%
 SP730TO , SOUTH POINTE ADVERTISING LLC ,, 117-Lori Eaton , 1 , Promotional ," $1,417.50 ", $-   ," $1,417.50 ",100.0%
 SO770HT , SOUTHWEST DATA CORP ,, 117-Lori Eaton , 1 , Promotional , $-   , $193.64 , $(193.64),-100.0%
 SP773TT , SPIRIT STORES USA ,, 117-Lori Eaton , 1 , Promotional ," $3,213.15 "," $1,837.03 "," $1,376.12 ",74.9%
 SD770HT , STANDING OVATIONS ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 SM752DT , STANLEY M DAVID & ASSOC ,, 117-Lori Eaton , 1 , Promotional ," $1,319.08 ", $-   ," $1,319.08 ",100.0%
 SE782ST , STAR EMBROIDERY ,, 117-Lori Eaton , 1 , Decorator ," $5,826.31 "," $5,625.59 ", $200.72 ,3.6%
 SP773MT , STAR PROMOTIONAL PRODUCTS ,, 117-Lori Eaton , 1 , Promotional ," $5,346.73 ", $135.58 ," $5,211.15 ",3843.6%
 SU774TX , SUNLINE PRODUCTS ,, 117-Lori Eaton , 1 , Promotional , $706.81 , $705.08 , $1.73 ,0.2%
 TB757TT , TAABS INC ,, 117-Lori Eaton , 1 , Promotional ," $9,928.06 ", $-   ," $9,928.06 ",100.0%
 TM787AT , TAG MARKETING LTD ,, 117-Lori Eaton , 1 , Promotional , $-   , $262.85 , $(262.85),-100.0%
 TE770HT , TEX STYLES INTERNATIONAL ,, 117-Lori Eaton , 1 , Promotional ," $1,133.74 "," $1,091.85 ", $41.89 ,3.8%
 TC782ST , TEXAS CONTRACT EMBROIDERY CO. ,, 117-Lori Eaton , 3 , Decorator ," $1,069.69 ", $-   ," $1,069.69 ",100.0%
 LC774HT , THE LARYAT COMPANY ,, 117-Lori Eaton , 3 , Promotional ," $34,513.98 "," $13,107.20 "," $21,406.78 ",163.3%
 OC753DT , THE ODEE COMPANY ,, 117-Lori Eaton , 1 , Promotional , $708.96 , $-   , $708.96 ,100.0%
 WR774BT , THE WRIGHT TOUCH ,, 117-Lori Eaton , 1 , Promotional , $-   , $-   , $-   ,0.0%
 TC961HT , THREADS CUSTOMIZED ,, 117-Lori Eaton , 1 , Promotional ," $5,919.40 ", $-   ," $5,919.40 ",100.0%
 TS752DT , TJ SANDERS GROUP LLC ,, 117-Lori Eaton , 2 , Promotional ," $2,094.64 ", $-   ," $2,094.64 ",100.0%
 TR776HT , TRADEMARKS PROMOTIONAL PRODUCT ,, 117-Lori Eaton , 3 , Promotional ," $7,564.32 "," $1,271.53 "," $6,292.79 ",494.9%
 TP773TT , TREND BRAND SOLUTIONS ,, 117-Lori Eaton , 1 , Promotional ," $1,297.35 ", $-   ," $1,297.35 ",100.0%
 TD766HT , TYLER DISTRIBUTORS ,, 117-Lori Eaton , 1 , Corporate ," $2,943.83 ", $-   ," $2,943.83 ",100.0%
 VP786GT , VICTORY PROMOTIONAL PRODUCTS ,, 117-Lori Eaton , 1 , Corporate , $80.40 , $-   , $80.40 ,100.0%
 VI774ST , VISUAL PROMOTIONS ,, 117-Lori Eaton , 2 , Promotional ," $10,333.33 "," $6,837.92 "," $3,495.41 ",51.1%
 WA779VT , WATERMARK GRAPHICS INC ,, 117-Lori Eaton , 1 , Decorator ," $7,281.45 "," $3,795.70 "," $3,485.75 ",91.8%
 WA770HT , WAYNE ENTERPRISES ,, 117-Lori Eaton , 3 , Promotional ," $6,808.08 "," $6,280.63 ", $527.45 ,8.4%
 WH770HT , WHOLESALE CAPS ETC ,, 117-Lori Eaton , 3 , Promotional ," $5,154.44 "," $4,057.01 "," $1,097.43 ",27.1%
 WS761WT , WORLDWIDE SPECIALTY ADVERTISING INC ,, 117-Lori Eaton , 1 , Promotional , $17.96 , $-   , $17.96 ,100.0%
 XB760GT , XACT BUSINESS SOLUTIONS ,, 117-Lori Eaton , 1 , Promotional , $17.18 , $886.62 , $(869.44),-98.1%
 YO782ST , YOU NAME IT SPECIALTIES ,, 117-Lori Eaton , 2 , Promotional ," $8,544.07 "," $2,704.07 "," $5,840.00 ",216.0%
,,,,,,,,,
,,,,,," $364,086.83 "," $154,385.33 "," $209,701.50 ",135.8%
,,,,,,,,,
,,,,,,,,,
